# F121 -- THE CENSUS AT THE DISPATCH ANCHOR: every command and input that starts a TIME-EXTENDED camera-state change.
# Tab-separated. Written 2026-09-19 by the F121 executor. Line numbers RE-RESOLVED at code 2f9e6da7 (the fov fix's commit)
# unless a column says otherwise; anything cited from another tree says so in the row.
#
# HOW THE SET IS RESOLVED (the mandate asks for the resolving commands, not a list of recollections):
#   A  the command surface : the token table src/interfaceModule/app_command_init.cpp:39-120 + the switch
#      app_command_interface.cpp:383-443, walked handler by handler for any call reaching
#      Navigator::moveTo|updateMove|changeHeading|alignUpVectorTo|lookAt, Observer::moveTo|moveRel*|multAltitude,
#      Projector::zoomTo|changeFov, AnchorManager::moveTo*|transitionTo*|alignCameraToBody|selectAnchor,
#      Core::autoZoomIn|autoZoomOut|zoomToBothPaths|setFlagTracking|setHomePlanet|panView|gotoSelectedObject,
#      or any Camera::instance-> / camera-> / cameraAnchors-> call.
#   B  the input surface   : src/uiModule/ui.cpp (keys, mouse, joystick), ui_tuiconf.cpp (TUI), joypad_controller.cpp.
#   C  the script corpus   : the 64 files of ~/.spacecrafter/scripts/internal/*.sts, first field of every non-comment
#      line, CR-stripped, LC_ALL=C.  15 of the 64 use a census token; the other 49 use none.
# "Time-extended" = it does not land in the same frame (a duration, a ramp, an easing, a per-frame integration).
#
# MEASURED columns: max |delta| over the frames of the transition, from the per-frame seam recorder
# (Core::recordSeamStep, S11.245), read with harness/f121_seam.py. PRE = binary c2e4680c (artifacts/f121/census_pre,
# script_pre, point_attr). POST = binary 9e545fef (artifacts/f121/census_fov), i.e. after the fov fix 2f9e6da7.
# "not measured" is stated wherever it is true. THE FLOORS, measured at rest on both binaries: fov 5.009e-06 deg
# (one float32 ulp of the camera's half angle), view angle 1.44e-05 deg, observer position 4.2e-08 AU,
# heading 1.7e-05 deg.
#
id	token / input	handler or binding	old interpolator (class, easing, duration semantics, where stepped)	new-path counterpart	forwarding site (duration passed or DEFAULTED)	measured max |delta| PRE	POST	ledger row	state
T23	mode jump / configuration action load	commandModeJump:3632 / commandConfiguration:2506	AnchorManager::selectAnchor -> observer->moveTo({1,0,0,0}, 10000, true) -- a 10 s QUATERNION slew	NONE	none	not measured	not measured	NEW MINT owed	OLD-ONLY 10 s slew, NOT MEASURED
T24	interactive look (arrow keys, joypad axes, mouse drag)	ui.cpp:1102/:1106/:1113/:1120, Core::turn*, Core::dragView core.cpp:2014	Navigator::updateMove(dAz,dAlt,fov) duration 0 -- constant rate, instant stop	Camera::lookRel(dAlt,dAz,0), old's convention + pole clamp reproduced	core.cpp:2155 / core.cpp:2014 (EXPLICIT 0)	not measured (keys are not TCP-reachable)	-	B34	MIRRORED AT HEAD -- the B34 row's "old navigator alone" is STALE (S11.133 landed it)
T25	interactive altitude (joypad raise/lower buttons)	ui.cpp:640/:720 -> Core::raiseHeight/lowerHeight -> Core::updateMove	Observer::multAltitude, radial	Camera::multAlt -> descend(): view-directed near / last-selected far	core.cpp (updateMove's deltaHeight block)	not measured	not measured	B21 / 11.72	DELIBERATE divergence by design (B21), NOT MEASURED
T26	joypad lat/lon/alt AXES	ui.cpp:592/:594/:602/:604/:607/:609/:616/:623	Observer::moveRelLat/Lon/Alt(delay)	Camera::moveRelLat/Lon/Alt(delay/1000)	coreLink.hpp:971/:976/:981 (EXPLICIT)	not measured	not measured	NEW MINT owed	BOTH paths instant: DURATION_COMMAND = 0.1 (ui.cpp:60) truncates to 0 in an `int delay`
T27	keypad moveto keys (SHIFT KP_2/4/6/8/3/9), `0`/`9` +/-45 deg 7 s, KWIN J/L	ui.cpp:2603/:2659/:2717/:2774/:2629/:2804/:2038/:2287/:1563/:1624	Observer::moveTo / moveRelLat, 0.1-7 s	Camera::moveTo / moveRelLat	coreLink.hpp:965 / :976	same seam as T12	same as T12	5.68	same as T12, NOT separately measured
T28	select / deselect (they clear tracking and set the sky lock)	commandSelect:3303 / commandDeselect:3322 -> Core::selectObject / setFlagTracking(false) / setFlagLockSkyPosition(true)	navigator flags, per-frame hold	Camera::trackBody(nullptr) core.cpp:2778 / Camera::setSkyLock	core.cpp:2778 / core.cpp (setFlagLockSkyPosition)	at the floor in every leg that used them	floor	-	GREEN
T29	set zoom_offset <v>	evalCommandSet:2372 -> Core::setViewOffset	navigator view_offset + view_offset_transition ramp (navigator.cpp:73-78)	Camera::setViewOffset + its own VIEW_OFFSET_RAMP_RATE ramp	core.cpp setViewOffset	not measured	not measured	B17	ENDPOINTS byte-matched, ramp curve perceptual-parity by design (B17)
T30	camera action lift_off altitude <a> [duration]	commandCamera:4557-4577, injects moveto + wait + transition_to point	expands to T12 + T13	same	same	not measured	not measured	-	COMPOSITE of T12 and T13
#
# THE SCRIPT CORPUS (C). 15 of 64 internal scripts use a census token; the aggregate, by token and file count:
#   moveto 12 files (24 lines) | set home_planet 7 (10) | zoom 6 (8) | set auto_move_duration 5 (9) | deselect 4 (7)
#   flag lock_sky_position 4 (4) | set heading 3 (3, all `default`) | flag track_object 3 (3) | mode jump 3 (3)
#   position 3 (3) | camera 2 (5) | heading 2 (2) | select 1 (1) | configuration action load 1 (1)
#   look_at 0 | flyto 0 | flag manual_zoom 0 | set zoom_offset 0 | camera action descend/free_mode/align_with/switch/load 0
# So the reachable-from-a-shipped-script set is dominated by T12 (moveto) and T22 (set home_planet); the tester's own
# script fly_to_selected.sts is the only internal script that uses T13/T14/T15 at all.
#
# THE HEADING ROW (T20), stated rather than smoothed: the wrapped max reads exactly 180.0 deg on both binaries. A
# 40 deg commanded ramp cannot be 180 deg apart, so this number is a READER artefact or a wrap boundary and is NOT
# claimed as a physical divergence -- it is reported unresolved. The at-rest heading delta is 1.16e-06 deg after the
# ramp lands and 0 at the leg's end, so the ENDPOINTS agree; the interval is unmeasured by a channel I trust.
#
# NOT COVERED BY ANY LEG, and named so the next task does not have to rediscover the hole: the near-body
# disappearance (mandate step 6) -- no leg reached it; T16..T23 above; and every key/mouse/joypad input, which this
# harness cannot drive (the TCP channel carries commands, not SDL events).
