# F115 - every FIELD of every uniform block a per-BODY object holds on
# context.uniformMgr, with the site that WRITES it and its variability class.
# Sizes are sizeof in bytes (the carved size is per BLOCK, see f115_sizes.tsv).
# Classes: FRAME = per body per frame | CONST = per body, constant after load
#          SYSTEM = one value per planetary system | LAUNCH = per launch/config
#          ALL = identical for every body at a frame | DEAD = never written
#          DERIVED = a pure function of another field of the SAME block
# Every fill site is file:line at code master-beta @ d0e0c51e.
block	field	bytes	fill_site	class	note
RingUniform	LightDirection	12	ring.cpp	SYSTEM
RingUniform	SunnySideUp	4	ring.cpp	FRAME
RingUniform	fadingFactor	4	ring.cpp	FRAME
artGeom	ModelViewMatrix	64	body_artificial.cpp (drawBody)	FRAME	OLD path's artificial body
artGeom	clipping_fov	12	body_artificial.cpp	FRAME/ALL
artVert	normal[12]	48	body_artificial.cpp	DERIVED	std140 mat3 of artGeom.ModelViewMatrix's rotation part
artVert	radius	4	body_artificial.cpp	CONST
LightInfo	Position	12	body_artificial.cpp	ALL	the light again, one value for every body
LightInfo	fixAlignment	4	(none)	DEAD	std140 alignment slot
LightInfo	Intensity	12	body_artificial.cpp	LAUNCH	hardcoded {1,1,1}
moonFrag	MoonPosition1	12	body_moon.cpp:317	FRAME	OLD heightmap row
moonFrag	MoonRadius1	4	body_moon.cpp:318	CONST
moonFrag	UmbraColor	12	body_moon.cpp:319	LAUNCH	one of two hardcoded triples (isEarthMoon)
moonFrag	SunHalfAngle	4	body_moon.cpp:320	FRAME
globalTescGeom	TesParam	12	body_moon.cpp:321 <- BodyTesselation	LAUNCH	the same triple for every tessellated body
