class	partition	file	entries_naming_it	invoked_by	rule
PROBE	FROZEN	f39_scenes.sh	11.152,11.153	f40_scenes.sh f41_scenes.sh	no standing reach, no later-entry re-use, delivered before Sec.11.213
PROBE	FROZEN	f40_scenes.sh	11.153	-	no standing reach, no later-entry re-use, delivered before Sec.11.213
PROBE	FROZEN	f41_ownership.py	11.155,11.230	-	no standing reach, no later-entry re-use, delivered before Sec.11.213
PROBE	FROZEN	f41_scenes.sh	-	-	no standing reach, no later-entry re-use, delivered before Sec.11.213
ROUTED	LIVE	f45_run.sh	11.159,11.176	f45_spint.py	(a) reach / (b) later-entry re-use / (c) the Sec.11.213+ era
PROBE	FROZEN	f55_probe.py	11.172	-	no standing reach, no later-entry re-use, delivered before Sec.11.213
PROBE	FROZEN	f55_probe2.py	11.172	-	no standing reach, no later-entry re-use, delivered before Sec.11.213
PROBE	FROZEN	f55_sampler.py	11.172	f82_portrait.py f55_run.sh	no standing reach, no later-entry re-use, delivered before Sec.11.213
ROUTED	LIVE	f56_canary.sh	11.104,11.157,11.164,11.167,11.172,11.174,11.176,11.187,11.188,11.199,11.205,11.214,11.216,11.222,11.229,11.231,11.232,11.234	f100_run.sh f90_rehearsal.py f91_run.sh f90_rehearsal_run.sh f95_soak.py f94_run.sh f96_run.sh f94_bodyselect.py f114_run.sh f56_band.py f116_assert.sh f99_run.sh b22_live_run.sh f97_run.sh	(a) standing entry point
PROBE	FROZEN	f67_tcp_live.py	11.185	f95_soak.py	no standing reach, no later-entry re-use, delivered before Sec.11.213
PROBE	FROZEN	f68_provenance.py	11.186,11.187,11.192,11.194	f73_line.py	no standing reach, no later-entry re-use, delivered before Sec.11.213
PROBE	FROZEN	f69_feedback.py	11.186,11.188,11.189,11.192,11.194	f68_provenance.py f73_line.py	no standing reach, no later-entry re-use, delivered before Sec.11.213
MENTION	FROZEN	f76_live.py	-	-	census MENTION, not a process probe: nothing to route or annotate
PROBE	FROZEN	f81_offset.py	11.201,11.216	f82_portrait.py f81_run.sh f81_table.py	no standing reach, no later-entry re-use, delivered before Sec.11.213
PROBE	FROZEN	f84_coldhome.py	11.204,11.205,11.206	f84_install.sh f86_startup.py	no standing reach, no later-entry re-use, delivered before Sec.11.213
PROBE	FROZEN	f86_startup.py	11.205	-	no standing reach, no later-entry re-use, delivered before Sec.11.213
ROUTED	LIVE	f90_rehearsal.py	11.211,11.215,11.218,11.230	f90_rehearsal_run.sh sts_duration.py	(a) reach / (b) later-entry re-use / (c) the Sec.11.213+ era
ROUTED	LIVE	f90_rehearsal_run.sh	11.211,11.213,11.214,11.215,11.216,11.217,11.219,11.220,11.225,11.226,11.230,11.231,11.232,11.234,11.235,11.237	f90_rehearsal.py	(a) standing entry point
ROUTED	LIVE	f91_parity.py	11.158,11.213,11.216,11.220	f91_run.sh f97_locorbit.py f91_format.py f99_locguard.py	(a) reach / (b) later-entry re-use / (c) the Sec.11.213+ era
ROUTED	LIVE	f91_run.sh	11.213,11.216,11.217,11.220,11.225,11.226,11.230,11.235,11.237	f91_parity.py	(a) standing entry point
ROUTED	LIVE	f94_bodyselect.py	11.214,11.230	f94_run.sh	(a) reach / (b) later-entry re-use / (c) the Sec.11.213+ era
ROUTED	LIVE	f94_run.sh	11.214	f94_bodyselect.py	(a) reach / (b) later-entry re-use / (c) the Sec.11.213+ era
ROUTED	LIVE	f95_soak.py	11.215,11.218,11.221,11.230	f101_bisect.py f90_rehearsal.py sts_duration.py f95_report.py	(a) reach / (b) later-entry re-use / (c) the Sec.11.213+ era
ROUTED	LIVE	f96_offset.py	11.216,11.220	f108_writelog.py f107_orbitflag.py f108_rotate.py f108_mutant.py f96_run.sh f105_dump.py f116_budget.py f100_freeze.py	(a) standing entry point
ROUTED	LIVE	f96_run.sh	11.216	-	(a) reach / (b) later-entry re-use / (c) the Sec.11.213+ era
ROUTED	LIVE	f97_run.sh	11.217	-	(a) reach / (b) later-entry re-use / (c) the Sec.11.213+ era
ROUTED	LIVE	f99_gdb.sh	-	-	(a) reach / (b) later-entry re-use / (c) the Sec.11.213+ era
ROUTED	LIVE	f99_run.sh	-	-	(a) reach / (b) later-entry re-use / (c) the Sec.11.213+ era
HOME	HOME	sc_gpu.py	-	f56_canary.sh f114_run.sh f116_assert.sh	F112 delivery: the criterion and the instruments that measure it
HOME	HOME	sc_instances.py	-	f30_alloc.sh f90_rehearsal.py f38_scenes.sh f38_run.sh f40_scenes.sh f39_scenes.sh f95_soak.py f67_tcp_live.py f96_offset.py f41_scenes.sh f91_parity.py f55_probe2.py f68_provenance.py f81_offset.py f55_sampler.py f38_config.sh f41_ownership.py f94_bodyselect.py f39_farm.sh f39_asmooth_probe.sh f69_feedback.py f84_coldhome.py f55_probe.py f86_startup.py f29_run.sh b22_live_run.sh f39_d21.py f27_reply.py	F112 delivery: the criterion and the instruments that measure it
HOME	HOME	sc_instances.sh	-	f100_run.sh f30_alloc.sh f38_scenes.sh f38_run.sh f40_scenes.sh f91_run.sh f39_scenes.sh f90_rehearsal_run.sh f67_tcp_live.py f41_scenes.sh f94_run.sh f26_epoch.sh f55_probe2.py f68_provenance.py f45_run.sh f99_gdb.sh f81_offset.py f55_sampler.py f96_run.sh f38_config.sh f41_ownership.py f56_canary.sh f39_farm.sh f114_run.sh f39_asmooth_probe.sh f69_feedback.py f116_assert.sh f84_coldhome.py f55_probe.py f86_startup.py f99_run.sh f29_run.sh f97_run.sh f39_d21.py	F112 delivery: the criterion and the instruments that measure it
